respondent_id,hidden_persona,age_group,gender,city_tier,region,occupation,income_range,accessory_purchase_frequency,preferred_shopping_channel,premium_purchase_driver,sustainability_importance,prior_eco_purchase,plant_based_leather_awareness,familiarity_with_sustainable_materials,preferred_material,openness_to_try,perceived_durability_vs_leather,preferred_first_experience,intended_use_case,preferred_finish,preferred_brand_style,preferred_brand_story,usual_budget_small_accessory,usual_budget_large_accessory,willingness_to_pay_extra,preferred_offer,likelihood_to_recommend,estimated_spending_score,purchase_intent_5level,purchase_intent_binary,interest_handbags,interest_wallets,interest_belts,interest_footwear,interest_tech_accessories,interest_apparel,interest_home_decor,interest_corporate_gifts,trust_premium_design,trust_durability,trust_water_resistance,trust_luxury_branding,trust_certification,trust_made_in_india,trust_farmer_story,trust_reasonable_pricing,concern_durability,concern_quality,concern_low_awareness,concern_high_price,concern_brand_trust,concern_appearance,concern_availability
25,Skeptical traditional buyers,35-44,Male,Tier 1,West,Salaried,No income,Rarely,E-commerce marketplace,Sustainability,3,No,"Yes, a little",3,Natural handcrafted material,2,2,Online store,Daily personal use,Matte natural,Minimal and modern,Sustainable luxury,1000-2500,2000-5000,Up to 5%,Loyalty discount,2,46,Not sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
26,Eco-conscious premium adopters,35-44,Male,Tier 2,East,Salaried,25k-50k,Rarely,Shopping mall/store,Quality/Durability,4,No,"Yes, a little",2,Natural handcrafted material,5,4,Premium offline store,Daily personal use,Minimal modern,Sustainable and conscious,Cruelty-free innovation,Above 10000,Above 20000,Up to 5%,Free shipping,5,100,Definitely would buy,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
27,Value-seeking curious buyers,18-24,Male,Tier 2,West,Salaried,Below 25k,Very often,E-commerce marketplace,Price/Value,4,Heard of them but never purchased,"Yes, a little",4,Natural handcrafted material,4,3,Marketplace,Office/professional use,Classic leather-like,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,0%,First-time buyer discount,5,100,Definitely would buy,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
28,Eco-conscious premium adopters,35-44,Male,Metro,West,Business Owner,50k-100k,Once in 2-3 months,Exhibitions/pop-ups,Sustainability,5,No,"Yes, know it well",5,Natural handcrafted material,5,4,Marketplace,Office/professional use,Minimal modern,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,Limited edition packaging,5,100,Definitely would buy,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
29,Eco-conscious premium adopters,35-44,Female,Metro,North,Business Owner,50k-100k,Monthly,Exhibitions/pop-ups,Sustainability,5,"Yes, occasionally","Yes, a little",3,Vegan leather,5,5,Marketplace,Daily personal use,Textured artisan,Sustainable and conscious,Agri-waste innovation,Above 10000,Above 20000,11%-20%,Loyalty discount,5,100,Definitely would buy,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
30,Skeptical traditional buyers,35-44,Female,Tier 2,North,Salaried,Below 25k,Rarely,E-commerce marketplace,Price/Value,3,"Yes, occasionally","No, never heard of it",1,Genuine leather,2,4,Premium offline store,Gifting,Classic leather-like,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Customization offer,2,89,Definitely would not buy,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0
31,Skeptical traditional buyers,35-44,Female,Tier 1,Northeast,Creative Professional,25k-50k,Monthly,Shopping mall/store,Quality/Durability,4,"Yes, occasionally","No, never heard of it",1,Genuine leather,1,2,Premium offline store,Office/professional use,Matte natural,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,1,96,Not sure,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
32,Conscious gifting buyers,25-34,Female,Tier 2,South,Creative Professional,50k-100k,Rarely,E-commerce marketplace,Exclusivity,3,"Yes, occasionally",Heard the term only,3,Recycled material,5,3,Premium offline store,Gifting,Glossy luxury,Sustainable and conscious,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,Customization offer,5,100,Definitely would buy,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
33,Design-first urban buyers,35-44,Male,Tier 1,West,Student,Below 25k,Very often,Instagram/social commerce,Price/Value,4,"Yes, occasionally","Yes, a little",4,Genuine leather,4,3,Pop-up exhibition,Fashion/styling,Glossy luxury,Luxury and premium,Sustainable luxury,Above 10000,Above 20000,11%-20%,Customization offer,5,100,Definitely would buy,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
34,Design-first urban buyers,25-34,Male,Metro,East,Creative Professional,50k-100k,Once in 2-3 months,Shopping mall/store,Brand Image,4,No,"Yes, know it well",5,Genuine leather,4,3,Marketplace,Daily personal use,Minimal modern,Sustainable and conscious,Cruelty-free innovation,Above 10000,Above 20000,11%-20%,Limited edition packaging,5,100,Definitely would buy,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
35,Value-seeking curious buyers,18-24,Female,Tier 1,North,Salaried,No income,Rarely,Shopping mall/store,Price/Value,2,No,"Yes, know it well",5,Vegan leather,3,3,Social media page,Daily personal use,Classic leather-like,Handcrafted and artisanal,Agri-waste innovation,2501-5000,5001-10000,0%,First-time buyer discount,4,51,Definitely would buy,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1
36,Eco-conscious premium adopters,18-24,Male,Tier 1,Northeast,Salaried,50k-100k,Once in 2-3 months,Instagram/social commerce,Sustainability,4,No,"Yes, a little",4,Recycled material,5,4,Designer boutique,Daily personal use,Classic leather-like,Minimal and modern,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,Customization offer,5,100,Definitely would buy,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Eco-conscious premium adopters,35-44,Female,Metro,Northeast,Business Owner,Below 25k,Very often,Brand website,Sustainability,5,Heard of them but never purchased,"Yes, know it well",4,Natural handcrafted material,5,4,Pop-up exhibition,Fashion/styling,Minimal modern,Sustainable and conscious,Sustainable luxury,Above 10000,Above 20000,11%-20%,Limited edition packaging,5,100,Definitely would buy,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
38,Value-seeking curious buyers,18-24,Male,Tier 1,North,Salaried,50k-100k,Monthly,E-commerce marketplace,Price/Value,4,"Yes, occasionally",Heard the term only,2,Vegan leather,4,1,Pop-up exhibition,Unlikely to buy,Glossy luxury,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Loyalty discount,3,100,Definitely would buy,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
39,Design-first urban buyers,35-44,Female,Tier 1,South,Student,100k-200k,Once in 2-3 months,E-commerce marketplace,Sustainability,3,No,"Yes, know it well",4,Fabric/Canvas,4,4,Premium offline store,Office/professional use,Minimal modern,Minimal and modern,Sustainable luxury,Above 10000,Above 20000,11%-20%,Combo/bundle offer,3,100,Definitely would buy,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1
40,Skeptical traditional buyers,35-44,Female,Rural,West,Freelancer,Below 25k,Once in 2-3 months,Shopping mall/store,Quality/Durability,2,No,"No, never heard of it",1,Genuine leather,2,3,Marketplace,Gifting,Textured artisan,Youthful and trendy,Modern premium Indian roots,1000-2500,2000-5000,0%,Combo/bundle offer,2,46,Definitely would not buy,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
41,Value-seeking curious buyers,45-54,Female,Tier 1,Northeast,Salaried,50k-100k,Monthly,E-commerce marketplace,Price/Value,2,Heard of them but never purchased,"Yes, a little",3,Fabric/Canvas,3,2,Online store,Office/professional use,Minimal modern,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,2,100,Probably would buy,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
42,Skeptical traditional buyers,35-44,Prefer not to say,Rural,East,Business Owner,Below 25k,Rarely,Exhibitions/pop-ups,Quality/Durability,2,No,"No, never heard of it",1,Genuine leather,1,3,Social media page,Gifting,Classic leather-like,Luxury and premium,Agri-waste innovation,2501-5000,5001-10000,0%,Combo/bundle offer,1,56,Definitely would not buy,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0
43,Skeptical traditional buyers,45-54,Prefer not to say,Tier 1,Central,Creative Professional,50k-100k,Rarely,Shopping mall/store,Price/Value,1,Heard of them but never purchased,"No, never heard of it",1,Fabric/Canvas,2,1,Premium offline store,Unlikely to buy,Classic leather-like,Youthful and trendy,Supports Northeast farmers,2501-5000,5001-10000,0%,First-time buyer discount,2,64,Probably would not buy,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
44,Design-first urban buyers,18-24,Male,Metro,East,Salaried,25k-50k,Once in 2-3 months,Brand website,Design/Aesthetics,3,"Yes, frequently","Yes, know it well",5,Natural handcrafted material,4,2,Marketplace,Daily personal use,Classic leather-like,Luxury and premium,Sustainable luxury,Above 10000,Above 20000,6%-10%,First-time buyer discount,3,100,Definitely would buy,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
45,Skeptical traditional buyers,25-34,Female,Tier 1,Northeast,Student,50k-100k,Rarely,Exhibitions/pop-ups,Design/Aesthetics,2,Heard of them but never purchased,Heard the term only,2,Genuine leather,3,2,Pop-up exhibition,Gifting,Minimal modern,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,0%,Free shipping,4,100,Probably would buy,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
46,Skeptical traditional buyers,35-44,Female,Rural,East,Salaried,100k-200k,Once in 2-3 months,E-commerce marketplace,Price/Value,2,"Yes, frequently",Heard the term only,2,Natural handcrafted material,1,1,Marketplace,Unlikely to buy,Classic leather-like,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,0%,First-time buyer discount,1,89,Definitely would not buy,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
47,Design-first urban buyers,25-34,Male,Metro,South,Homemaker,25k-50k,Almost never,Instagram/social commerce,Brand Image,4,Heard of them but never purchased,"Yes, know it well",5,No strong preference,5,2,Designer boutique,Daily personal use,Matte natural,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,11%-20%,Limited edition packaging,4,100,Definitely would buy,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
48,Design-first urban buyers,25-34,Female,Metro,South,Creative Professional,Above 200k,Once in 2-3 months,E-commerce marketplace,Sustainability,3,Heard of them but never purchased,"Yes, a little",4,Natural handcrafted material,4,2,Online store,Daily personal use,Glossy luxury,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,4,100,Definitely would buy,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
49,Skeptical traditional buyers,45-54,Prefer not to say,Rural,South,Homemaker,25k-50k,Once in 2-3 months,E-commerce marketplace,Price/Value,3,Heard of them but never purchased,Heard the term only,3,Fabric/Canvas,2,3,Social media page,Daily personal use,Minimal modern,Minimal and modern,Modern premium Indian roots,5001-10000,10001-20000,6%-10%,Combo/bundle offer,1,76,Not sure,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
50,Eco-conscious premium adopters,25-34,Male,Tier 1,South,Salaried,100k-200k,Monthly,Instagram/social commerce,Sustainability,3,"Yes, frequently","Yes, a little",3,Natural handcrafted material,5,3,Online store,Office/professional use,Matte natural,Sustainable and conscious,Sustainable luxury,Above 10000,Above 20000,11%-20%,Loyalty discount,5,100,Definitely would buy,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0
51,Eco-conscious premium adopters,35-44,Female,Tier 1,South,Salaried,25k-50k,Rarely,Exhibitions/pop-ups,Exclusivity,5,No,"Yes, know it well",3,Vegan leather,5,2,Premium offline store,Office/professional use,Minimal modern,Sustainable and conscious,Agri-waste innovation,Above 10000,Above 20000,11%-20%,Combo/bundle offer,4,100,Definitely would buy,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
52,Eco-conscious premium adopters,35-44,Male,Tier 1,West,Business Owner,50k-100k,Monthly,Boutique/designer store,Quality/Durability,4,Heard of them but never purchased,"Yes, know it well",5,Genuine leather,4,4,Pop-up exhibition,Fashion/styling,Matte natural,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,Up to 5%,Customization offer,4,100,Definitely would buy,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0
53,Skeptical traditional buyers,35-44,Female,Tier 3,East,Creative Professional,Below 25k,Rarely,E-commerce marketplace,Design/Aesthetics,2,"Yes, occasionally","No, never heard of it",1,Natural handcrafted material,2,2,Premium offline store,Daily personal use,Glossy luxury,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Combo/bundle offer,1,80,Probably would not buy,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
54,Skeptical traditional buyers,45-54,Female,Tier 3,East,Business Owner,25k-50k,Very often,Shopping mall/store,Quality/Durability,2,No,"No, never heard of it",1,No strong preference,1,1,Marketplace,Office/professional use,Classic leather-like,Youthful and trendy,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Loyalty discount,2,83,Definitely would not buy,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
55,Skeptical traditional buyers,35-44,Male,Rural,West,Freelancer,No income,Monthly,Brand website,Quality/Durability,1,Heard of them but never purchased,Heard the term only,2,Genuine leather,2,1,Pop-up exhibition,Fashion/styling,Classic leather-like,Handcrafted and artisanal,Modern premium Indian roots,1000-2500,2000-5000,0%,Free shipping,3,38,Definitely would not buy,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0
56,Skeptical traditional buyers,35-44,Male,Tier 2,North,Business Owner,Below 25k,Monthly,Shopping mall/store,Brand Image,2,"Yes, occasionally",Heard the term only,3,Genuine leather,3,3,Marketplace,Unlikely to buy,Matte natural,Luxury and premium,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,Combo/bundle offer,4,94,Definitely would not buy,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
57,Value-seeking curious buyers,45-54,Prefer not to say,Metro,East,Creative Professional,50k-100k,Rarely,Instagram/social commerce,Sustainability,3,"Yes, occasionally","No, never heard of it",3,No strong preference,3,2,Online store,Gifting,Matte natural,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Combo/bundle offer,2,100,Definitely would buy,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
58,Value-seeking curious buyers,18-24,Female,Metro,East,Salaried,No income,Rarely,Instagram/social commerce,Quality/Durability,2,No,Heard the term only,1,Genuine leather,4,3,Social media page,Fashion/styling,Matte natural,Sustainable and conscious,Cruelty-free innovation,5001-10000,10001-20000,Up to 5%,Free shipping,4,69,Probably would buy,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
59,Eco-conscious premium adopters,35-44,Female,Tier 2,South,Student,Above 200k,Very often,Boutique/designer store,Sustainability,4,Heard of them but never purchased,"Yes, a little",3,Natural handcrafted material,5,4,Marketplace,Special occasions,Glossy luxury,Sustainable and conscious,Sustainable luxury,Above 10000,Above 20000,Up to 5%,Loyalty discount,5,100,Definitely would buy,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0
