respondent_id,age_group,gender,city_tier,region,occupation,income_range,accessory_purchase_frequency,preferred_shopping_channel,premium_purchase_driver,sustainability_importance,prior_eco_purchase,plant_based_leather_awareness,familiarity_with_sustainable_materials,preferred_material,openness_to_try,perceived_durability_vs_leather,preferred_first_experience,intended_use_case,preferred_finish,preferred_brand_style,preferred_brand_story,usual_budget_small_accessory,usual_budget_large_accessory,willingness_to_pay_extra,preferred_offer,likelihood_to_recommend,interest_handbags,interest_wallets,interest_belts,interest_footwear,interest_tech_accessories,interest_apparel,interest_home_decor,interest_corporate_gifts,trust_premium_design,trust_durability,trust_water_resistance,trust_luxury_branding,trust_certification,trust_made_in_india,trust_farmer_story,trust_reasonable_pricing,concern_durability,concern_quality,concern_low_awareness,concern_high_price,concern_brand_trust,concern_appearance,concern_availability
11,25-34,Female,Metro,West,Salaried,Above 200k,Very often,Instagram/social commerce,Brand Image,3,No,"Yes, a little",3,Vegan leather,5,3,Designer boutique,Fashion/styling,Minimal modern,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,Up to 5%,First-time buyer discount,5,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
12,35-44,Male,Tier 2,Northeast,Business Owner,50k-100k,Almost never,E-commerce marketplace,Exclusivity,4,No,"Yes, know it well",5,Genuine leather,5,3,Pop-up exhibition,Gifting,Minimal modern,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,5,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
13,45-54,Female,Metro,East,Student,No income,Once in 2-3 months,E-commerce marketplace,Quality/Durability,4,"Yes, occasionally","Yes, a little",3,No strong preference,3,2,Pop-up exhibition,Gifting,Matte natural,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,3,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1
14,25-34,Male,Tier 1,North,Freelancer,50k-100k,Rarely,Boutique/designer store,Price/Value,2,"Yes, occasionally","No, never heard of it",2,Genuine leather,1,2,Premium offline store,Daily personal use,Matte natural,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,0%,Combo/bundle offer,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
15,18-24,Male,Tier 1,West,Business Owner,50k-100k,Once in 2-3 months,Shopping mall/store,Quality/Durability,3,"Yes, occasionally",Heard the term only,2,Genuine leather,2,4,Social media page,Unlikely to buy,Matte natural,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Loyalty discount,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
16,18-24,Male,Tier 1,West,Creative Professional,25k-50k,Very often,Boutique/designer store,Design/Aesthetics,3,"Yes, frequently",Heard the term only,2,Natural handcrafted material,4,4,Social media page,Fashion/styling,Matte natural,Youthful and trendy,Cruelty-free innovation,Above 10000,Above 20000,Up to 5%,Limited edition packaging,3,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
17,25-34,Male,Tier 3,West,Salaried,25k-50k,Almost never,Boutique/designer store,Sustainability,2,"Yes, occasionally",Heard the term only,4,Fabric/Canvas,2,4,Marketplace,Office/professional use,Glossy luxury,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Free shipping,2,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
18,25-34,Male,Tier 2,North,Student,50k-100k,Once in 2-3 months,Instagram/social commerce,Sustainability,4,No,"Yes, know it well",5,Natural handcrafted material,4,4,Online store,Daily personal use,Matte natural,Sustainable and conscious,Agri-waste innovation,Above 10000,Above 20000,6%-10%,Free shipping,3,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
19,35-44,Female,Tier 2,West,Creative Professional,No income,Rarely,Exhibitions/pop-ups,Quality/Durability,2,Heard of them but never purchased,Heard the term only,2,Genuine leather,2,1,Online store,Unlikely to buy,Matte natural,Handcrafted and artisanal,Modern premium Indian roots,1000-2500,2000-5000,Up to 5%,Loyalty discount,2,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
20,18-24,Male,Tier 3,South,Student,No income,Once in 2-3 months,Instagram/social commerce,Brand Image,4,No,Heard the term only,2,Natural handcrafted material,3,3,Designer boutique,Gifting,Textured artisan,Youthful and trendy,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,First-time buyer discount,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,45-54,Male,Tier 2,East,Business Owner,No income,Almost never,Shopping mall/store,Quality/Durability,2,Heard of them but never purchased,"Yes, a little",3,No strong preference,4,3,Premium offline store,Unlikely to buy,Glossy luxury,Handcrafted and artisanal,Modern premium Indian roots,2501-5000,5001-10000,Up to 5%,Free shipping,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
22,18-24,Female,Metro,Northeast,Business Owner,100k-200k,Monthly,E-commerce marketplace,Design/Aesthetics,4,No,"Yes, know it well",3,Fabric/Canvas,5,1,Social media page,Special occasions,Matte natural,Youthful and trendy,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,Limited edition packaging,5,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0
23,35-44,Female,Tier 2,South,Creative Professional,25k-50k,Rarely,Brand website,Quality/Durability,4,Heard of them but never purchased,Heard the term only,2,No strong preference,4,2,Social media page,Gifting,Classic leather-like,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
24,45-54,Male,Metro,Northeast,Business Owner,25k-50k,Very often,Exhibitions/pop-ups,Quality/Durability,4,"Yes, occasionally","Yes, know it well",5,Genuine leather,5,3,Premium offline store,Fashion/styling,Classic leather-like,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,Combo/bundle offer,5,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
25,35-44,Male,Tier 1,West,Salaried,No income,Rarely,E-commerce marketplace,Sustainability,3,No,"Yes, a little",3,Natural handcrafted material,2,2,Online store,Daily personal use,Matte natural,Minimal and modern,Sustainable luxury,1000-2500,2000-5000,Up to 5%,Loyalty discount,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
